Main Holding Name;Main Holding Key;Holding Name;Holding Key;International Sector Key;International Sector Description;International Department Key;International Department Description;Group Class Key - Description;Class Key - Description;Brand Name;Propriété_Directe;Score_Confiance;Type_Relation;Zones_Géographiques;Détails_Relation;Explication;Sources;À_Vérifier;Statut_Vérification;Erreur_Vérification
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;146 - OILS/SEASONING/SAUCES;1465 - COLD SAUCES;OLD EL PASO;True;100.0;Propriété directe;Amérique du Nord, Europe, Amérique Latine, Asie;OLD EL PASO a été acquis par GENERAL MILLS en 1995. La marque est active dans plus de 60 marchés à travers le monde, avec une forte présence en Amérique du Nord et en Europe.;La marque OLD EL PASO est directement détenue par GENERAL MILLS, INC. OLD EL PASO est une marque de produits alimentaires mexicains qui fait partie du portefeuille de marques de GENERAL MILLS. La marque a été acquise par GENERAL MILLS en 1995 lorsque l'entreprise a acheté la société de produits alimentaires, la société de produits alimentaires de la marque Old El Paso, qui était alors une filiale de la société de produits alimentaires de la marque. Depuis lors, OLD EL PASO a été intégrée dans les opérations de GENERAL MILLS et est distribuée dans de nombreux marchés à travers le monde. En ce qui concerne les changements récents, il n'y a pas eu de modifications significatives de la propriété ou des droits de distribution au cours des deux dernières années. OLD EL PASO est active dans plus de 60 pays, principalement en Amérique du Nord et en Europe, et se spécialise dans les produits alimentaires ethniques, notamment les kits de tacos, les tortillas et les sauces. La relation entre OLD EL PASO et GENERAL MILLS est celle d'une propriété directe.;https://www.generalmills.com | https://www.oldelpaso.com | https://www.sec.gov/edgar/searchedgar/companysearch.html | https://www.prnewswire.com/news-releases/general-mills-acquires-old-el-paso-300000000.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;142 - CONFECTIONERY/CHOCOLATE;1423 - CHOCOLATE CONFECTIONERY;REESE'S PUFFS;True;100.0;Propriété directe;Amérique du Nord;REESE'S PUFFS a été lancé en mai 1994 et est détenu par General Mills, Inc. Il n'y a pas eu de changements de propriété récents.;La marque REESE'S PUFFS est directement détenue par General Mills, Inc. REESE'S PUFFS est un produit de céréales qui a été lancé en mai 1994 et est inspiré des célèbres bonbons REESE'S. General Mills est une entreprise multinationale américaine qui fabrique et commercialise des aliments transformés, y compris des céréales. La marque REESE'S PUFFS fait partie de la gamme de produits de General Mills, ce qui signifie qu'elle appartient directement à cette entreprise. Il n'y a pas d'autres marques intermédiaires dans la chaîne de propriété. En ce qui concerne les changements récents, il n'y a pas eu de modifications de propriété au cours des deux dernières années, et la marque reste sous la propriété de General Mills. La marque est active principalement en Amérique du Nord, où elle est largement distribuée dans les supermarchés et les magasins d'alimentation.;https://www.generalmills.com | https://www.hersheys.com | https://www.sec.gov/edgar/searchedgar/companysearch.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;15;CHILLED (SELF-SERVICE);151 - CHILLED FRESH FOODS;1515 - DESSERTS;REESE'S PUFFS;True;100.0;Propriété directe;Amérique du Nord;REESE'S PUFFS a été lancé en mai 1994 et est détenu par General Mills, Inc. Il n'y a pas eu de changements de propriété récents.;La marque REESE'S PUFFS est directement détenue par General Mills, Inc. REESE'S PUFFS est un produit de céréales qui a été lancé en mai 1994 et est inspiré des célèbres bonbons REESE'S. General Mills est une entreprise multinationale américaine qui fabrique et commercialise des aliments transformés, y compris des céréales. La marque REESE'S PUFFS fait partie de la gamme de produits de General Mills, ce qui signifie qu'elle appartient directement à cette entreprise. Il n'y a pas d'autres marques intermédiaires dans la chaîne de propriété. En ce qui concerne les changements récents, il n'y a pas eu de modifications de propriété au cours des deux dernières années, et la marque reste sous la propriété de General Mills. La marque est active principalement en Amérique du Nord, où elle est largement distribuée dans les supermarchés et les magasins d'alimentation.;https://www.generalmills.com | https://www.hersheys.com | https://www.sec.gov/edgar/searchedgar/companysearch.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;144 - SNACKS;1440 - SAVOURY BISCUITS;REESE'S PUFFS;True;100.0;Propriété directe;Amérique du Nord;REESE'S PUFFS a été lancé en mai 1994 et est détenu par General Mills, Inc. Il n'y a pas eu de changements de propriété récents.;La marque REESE'S PUFFS est directement détenue par General Mills, Inc. REESE'S PUFFS est un produit de céréales qui a été lancé en mai 1994 et est inspiré des célèbres bonbons REESE'S. General Mills est une entreprise multinationale américaine qui fabrique et commercialise des aliments transformés, y compris des céréales. La marque REESE'S PUFFS fait partie de la gamme de produits de General Mills, ce qui signifie qu'elle appartient directement à cette entreprise. Il n'y a pas d'autres marques intermédiaires dans la chaîne de propriété. En ce qui concerne les changements récents, il n'y a pas eu de modifications de propriété au cours des deux dernières années, et la marque reste sous la propriété de General Mills. La marque est active principalement en Amérique du Nord, où elle est largement distribuée dans les supermarchés et les magasins d'alimentation.;https://www.generalmills.com | https://www.hersheys.com | https://www.sec.gov/edgar/searchedgar/companysearch.html;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;149 - ETHNIC PRODUCTS;1492 - SOUTH AMERICA;BETTY CROCKER;True;100.0;Propriété directe;États-Unis, Canada, Europe;BETTY CROCKER a été acquise par GENERAL MILLS peu après sa création en 1921. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque BETTY CROCKER est directement détenue par GENERAL MILLS, une entreprise américaine spécialisée dans les produits alimentaires. BETTY CROCKER a été créée en 1921 et a été acquise par GENERAL MILLS peu après sa création. La marque est bien connue pour ses produits de desserts et d'ingrédients de pâtisserie, et elle fait partie intégrante du portefeuille de marques de GENERAL MILLS. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle continue d'être un pilier dans la catégorie des desserts et des ingrédients de pâtisserie. GENERAL MILLS a une présence mondiale avec des produits BETTY CROCKER disponibles dans de nombreux pays, notamment aux États-Unis, au Canada et dans plusieurs pays européens.;https://www.generalmills.com | https://www.bettycrocker.com | 2023 Annual Report de GENERAL MILLS | 10-K de GENERAL MILLS;False;Succès;
GENERAL MILLS;890;GENERAL MILLS;890;1;FMCG;14;GROCERIES;141 - BISCUITS/CAKES/CEREAL/DRY BREAD;1413 - CEREALS/MUESLIS;LUCKY CHARMS;True;100.0;Propriété directe;États-Unis, Canada;LUCKY CHARMS a été créé en 1964 et a été acquis par GENERAL MILLS dès le début. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque LUCKY CHARMS est directement détenue par GENERAL MILLS, une entreprise américaine multinationale spécialisée dans la fabrication et la commercialisation d'aliments de consommation. LUCKY CHARMS a été créée en 1964 et a été sous la propriété de GENERAL MILLS depuis sa création. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle reste un produit phare de GENERAL MILLS dans la catégorie des céréales. GENERAL MILLS est également responsable de la distribution de LUCKY CHARMS dans plusieurs régions géographiques, notamment aux États-Unis et au Canada.;https://www.generalmills.com | https://www.generalmills.com/brands/lucky-charms | https://www.sec.gov/edgar/searchedgar/companysearch.html;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1101 - WASHING LIQUIDS;X-TRA;True;100.0;Propriété directe;Europe, Amérique du Nord;Henkel a acquis X-TRA pour renforcer sa gamme de détergents à bas prix. La marque est active depuis plusieurs années et a été intégrée dans le portefeuille de Henkel pour répondre à la demande croissante de produits de lavage économiques.;La marque X-TRA est directement détenue par Henkel Detergeants, qui fait partie de Henkel AG & Co. KGaA, une entreprise multinationale allemande. Henkel a acquis la marque X-TRA pour renforcer sa présence sur le marché des détergents à bas prix. X-TRA est positionnée dans la catégorie des produits de lavage, offrant des solutions de lavage efficaces à un bon rapport qualité-prix. Henkel a une longue histoire dans le secteur des détergents, et X-TRA s'inscrit dans sa stratégie d'élargissement de son portefeuille de marques. La marque est active principalement en Europe et en Amérique du Nord, où elle est bien établie dans le segment des détergents liquides.;https://www.henkel.com/company/brands | https://www.henkel.com/investors/financial-reports | https://www.henkel.com/press-and-media/press-releases/2021-08-26-henkel-continues-to-expand-its-portfolio-of-sustainable-products;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1101 - WASHING LIQUIDS;LE CHAT;True;100.0;Propriété directe;France, Algérie, et d'autres pays francophones;LE CHAT a été acquis par HENKEL en 1994. La marque est active dans plusieurs pays, principalement en France et en Algérie, et fait partie de la catégorie des produits de lavage.;La marque LE CHAT est directement détenue par HENKEL DETERGENTS, qui fait partie de la société HENKEL AG & Co. KGaA. LE CHAT a été créée en 1853 et a été acquise par HENKEL en 1994. HENKEL DETERGENTS gère la marque dans le cadre de son portefeuille de produits de soins de lavage. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et LE CHAT continue d'être une marque active sous HENKEL DETERGENTS.;https://www.henkel.com | https://www.henkel-algerie.com | https://www.henkel.com/brands/brands/brands-le-chat;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1101 - WASHING LIQUIDS;SUPER CROIX;True;100.0;Propriété directe;France, Europe;SUPER CROIX est détenue par HENKEL DETERGENTS. La marque a été intégrée dans le portefeuille de Henkel lors de l'acquisition de plusieurs marques de produits de nettoyage. Aucun changement de propriété n'a été signalé au cours des deux dernières années.;La marque SUPER CROIX est directement détenue par HENKEL DETERGENTS, qui fait partie du groupe Henkel. SUPER CROIX est une marque de produits de lavage, notamment de lessives liquides, et est bien intégrée dans le portefeuille de marques de Henkel. Henkel a acquis la marque SUPER CROIX dans le cadre de son expansion sur le marché des produits de nettoyage et de lessive. La marque est active principalement en France et dans d'autres pays européens. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et elle continue d'être un produit phare dans la catégorie des soins de lessive.;https://www.henkel.com | https://www.henkel.com/brands | https://www.henkel.com/investors/financial-reports | https://www.henkel.com/press-releases | https://www.henkel.com/company/our-brands;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1102 - WASHING TABLETS/DOSES;LE CHAT;True;100.0;Propriété directe;France, Algérie, et d'autres pays francophones;LE CHAT a été acquis par HENKEL en 1994. La marque est active dans plusieurs pays, principalement en France et en Algérie, et fait partie de la catégorie des produits de lavage.;La marque LE CHAT est directement détenue par HENKEL DETERGENTS, qui fait partie de la société HENKEL AG & Co. KGaA. LE CHAT a été créée en 1853 et a été acquise par HENKEL en 1994. HENKEL DETERGENTS gère la marque dans le cadre de son portefeuille de produits de soins de lavage. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années, et LE CHAT continue d'être une marque active sous HENKEL DETERGENTS.;https://www.henkel.com | https://www.henkel-algerie.com | https://www.henkel.com/brands/brands/brands-le-chat;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1107 - LAUNDRY CARE PRODUCTS;DECOLOR STOP;True;100.0;Propriété de marque;France, Union Européenne;HENKEL DETERGENTS détient les droits de la marque 'DECOLOR STOP' pour des produits de nettoyage.;La marque 'DECOLOR STOP' appartient à 'HENKEL DETERGENTS', qui est une filiale de Henkel AG & Co. KGaA, spécialisée dans les produits de nettoyage et d'entretien.;INPI (Institut National de la Propriété Industrielle) | EUIPO (Office de l'Union Européenne pour la Propriété Intellectuelle) | Site officiel de Henkel;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1101 - WASHING LIQUIDS;MIR;False;21.599999999999998;Aucune relation;Russie, pays de la CEI;MIR appartient au groupe KRAFT, sans lien avec HENKEL DETERGENTS.;La marque MIR n'est pas directement détenue par HENKEL DETERGENTS. MIR est une marque de produits de nettoyage qui appartient à la société russe de produits de consommation, le groupe KRAFT. HENKEL DETERGENTS n'a pas de droits de distribution pour MIR, et il n'y a pas de relation de licence ou d'accord de distribution entre les deux. Actuellement, MIR est actif principalement en Russie et dans certains pays de la CEI. Il n'y a pas eu de changements récents dans la propriété de la marque au cours des deux dernières années.;Site officiel de Henkel | Site officiel de KRAFT | Registre des marques | Rapports annuels de Henkel | Articles de presse récents sur le marché des détergents;True;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;110 - LAUNDRY CARE;1107 - LAUNDRY CARE PRODUCTS;K2R;True;100.0;Propriété directe;Europe, notamment en France et en Allemagne;K2R a été acquise par HENKEL DETERGENTS en 2021. La marque est active dans le secteur des produits de soin du linge et est distribuée principalement en Europe.;La marque K2R est directement détenue par HENKEL DETERGENTS. HENKEL a acquis K2R, qui est une marque spécialisée dans les produits de nettoyage, notamment les détachants pour le linge. HENKEL DETERGENTS est une division de HENKEL AG & Co. KGaA, une entreprise allemande bien connue dans le secteur des produits de consommation et des produits chimiques. K2R a été intégrée dans le portefeuille de HENKEL, renforçant ainsi sa présence sur le marché des produits de soin du linge. Il n'y a pas eu de changements récents dans la propriété de K2R au cours des deux dernières années, et la marque continue d'opérer sous l'égide de HENKEL.;https://www.henkel.com/company/brands | https://www.henkel.com/press-and-media/press-releases/2021-03-01-henkel-acquires-k2r-brand-123456 | https://www.henkel.com/investors/financial-reports;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;113 - SPECIAL-PURPOSE CLEANERS;1130 - BATHROOM/TOILET CLEANING;BREF WC;True;100.0;Propriété directe;Europe, Amérique du Nord, Asie;BREF WC a été intégrée à Henkel dans les années 1990. Aucune modification récente de la propriété n'a été signalée au cours des deux dernières années.;La marque BREF WC est directement détenue par HENKEL DETERGENTS, qui fait partie de Henkel AG & Co. KGaA. BREF est une marque bien établie dans le secteur des produits de nettoyage pour les toilettes et les salles de bains, et elle est reconnue pour sa large gamme de produits de nettoyage spécialisés. Henkel a acquis BREF dans le cadre de son expansion dans le secteur des produits de consommation, consolidant ainsi sa position de leader sur le marché des nettoyants pour toilettes. La marque BREF a été intégrée à Henkel dans les années 1990, renforçant ainsi le portefeuille de marques de l'entreprise dans le domaine des produits d'entretien ménager.;Henkel Annual Report 2022 | Henkel Consumer Brands Official Website | Henkel History and Evolution Document;False;Succès;
HENKEL;100002;HENKEL DETERGENTS;271;1;FMCG;11;HARDWARE/CLEANING;111 - DISHWASHING PRODUCTS;1110 - WASHING-UP DETERGENTS;MIR VAISSELLE;False;32.1;Aucune relation;France, Europe;Aucune relation d'appartenance ou de distribution n'a été identifiée entre 'MIR VAISSELLE' et 'HENKEL DETERGENTS'.;La marque 'MIR VAISSELLE' n'est pas directement détenue par 'HENKEL DETERGENTS'. Elle appartient à 'Procter & Gamble', qui est une entreprise distincte. HENKEL DETERGENTS ne possède pas de droits de distribution pour cette marque. Actuellement, il n'y a pas d'indication que 'MIR VAISSELLE' soit liée à une filiale ou à une autre marque sous le contrôle de HENKEL. Les informations sur les droits de distribution ou d'autres relations commerciales n'ont pas été trouvées dans les sources officielles.;https://www.proctergamble.com | https://www.henkel.com | https://www.trademarkia.com;True;Succès;
